,business_id,business_postal_code,business_latitude,business_longitude,inspection_score,violation_id,violation_description,Neighborhoods (old),Police Districts,Supervisor Districts,Zip Codes,Analysis Neighborhoods,year,month,day
33,5827,94134.0,37.729015999999994,-122.419253,88.0,103120.0,3.0,5.0,3.0,7.0,309.0,7.0,2019,9,3
114,68451,94103.0,37.784548,-122.40418999999999,74.0,103119.0,4.0,6.0,2.0,9.0,28853.0,8.0,2018,2,26
204,2409,94103.0,37.765142,-122.419026,87.0,103103.0,3.0,19.0,4.0,7.0,28853.0,20.0,2019,7,24
353,27949,94121.0,37.775663,-122.49795900000001,82.0,103133.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,9,23
355,59002,94133.0,37.796152,-122.40525500000001,94.0,103161.0,1.0,4.0,1.0,10.0,28857.0,6.0,2019,7,9
363,10332,94103.0,37.776384,-122.41168400000001,75.0,103153.0,3.0,34.0,2.0,9.0,28853.0,34.0,2018,11,27
385,62010,94103.0,37.765155,-122.41876599999999,94.0,103161.0,1.0,19.0,4.0,7.0,28853.0,20.0,2019,7,24
396,972,94122.0,37.753614,-122.490219,94.0,103154.0,1.0,35.0,8.0,3.0,56.0,35.0,2019,7,17
401,116,94111.0,37.793874,-122.396464,74.0,103132.0,3.0,6.0,1.0,10.0,28855.0,8.0,2019,9,12
414,63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103142.0,1.0,23.0,1.0,10.0,308.0,23.0,2019,8,14
418,3485,94121.0,37.770346,-122.510896,92.0,103154.0,1.0,8.0,6.0,2.0,55.0,12.0,2018,4,10
426,28843,94105.0,37.788727,-122.398288,89.0,103103.0,3.0,6.0,2.0,9.0,28855.0,8.0,2019,7,11
427,5257,94110.0,37.760295,-122.418953,82.0,103129.0,4.0,19.0,4.0,7.0,28859.0,20.0,2019,9,11
431,3982,94103.0,37.771501,-122.413439,86.0,103131.0,1.0,34.0,2.0,9.0,28853.0,34.0,2019,8,1
437,34046,94121.0,37.779373,-122.4999,86.0,103120.0,3.0,26.0,6.0,2.0,55.0,29.0,2019,9,20
442,16441,94134.0,37.728718,-122.404101,74.0,103102.0,1.0,28.0,3.0,7.0,309.0,25.0,2019,9,12
444,59574,94110.0,37.755479,-122.41758300000001,85.0,103142.0,1.0,19.0,4.0,7.0,28859.0,20.0,2019,9,11
445,65692,94121.0,37.780234,-122.479979,94.0,103154.0,1.0,26.0,6.0,2.0,55.0,29.0,2019,8,14
448,1832,94108.0,37.790125,-122.403924,71.0,103149.0,1.0,6.0,1.0,10.0,28854.0,8.0,2018,12,3
462,63755,94133.0,37.808240000000005,-122.41018899999999,68.0,103150.0,4.0,23.0,1.0,10.0,308.0,23.0,2019,8,14
468,67985,94103.0,37.774722,-122.40676100000002,88.0,103144.0,2.0,34.0,2.0,9.0,28853.0,34.0,2019,9,23
473,3090,94105.0,37.792577,-122.393992,90.0,103142.0,1.0,6.0,2.0,9.0,28855.0,8.0,2019,10,1
478,61563,94107.0,37.781638,-122.396308,94.0,103149.0,1.0,34.0,2.0,9.0,28856.0,34.0,2019,8,2
487,116,94111.0,37.793874,-122.396464,74.0,103105.0,3.0,6.0,1.0,10.0,28855.0,8.0,2019,9,12
